Covered_Recipient_Specialty_1,total_payment,median_payment,number_of_payments
Allopathic & Osteopathic Physicians|Allergy & Immunology|Allergy,38056.1,19.98,18
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,36224.75,17.42,709
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Sports Medicine,30954.07,47.0,63
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Endocrinology,29623.57,18.42,133
Allopathic & Osteopathic Physicians|Otolaryngology,28514.72,22.62,139
Allopathic & Osteopathic Physicians|Surgery|Surgical Oncology,27408.670000000002,25.91,95
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Infectious Diseases,26594.28,1468.64,10
Allopathic & Osteopathic Physicians|Nuclear Medicine,26071.2,61.8,30
Dental Providers|Dentist|Pediatric Dentistry,26040.11,21.060000000000002,170
Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,25836.47,20.24,141
Allopathic & Osteopathic Physicians|Allergy & Immunology,25439.42,17.07,132
Allopathic & Osteopathic Physicians|Clinical Pharmacology,24860.0,3080.0,6
Eye and Vision Services Providers|Optometrist|Corneal and Contact Management,24146.120000000003,53.14,19
Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology,23650.59,160.1,26
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Critical Care Medicine,23163.16,156.815,24
Allopathic & Osteopathic Physicians|Transplant Surgery,22362.440000000002,41.79,36
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Obstetrics,19798.2,16.18,192
Allopathic & Osteopathic Physicians|Internal Medicine|Hypertension Specialist,19780.46,206.125,12
Allopathic & Osteopathic Physicians|Anesthesiology|Critical Care Medicine,19354.91,28.805,28
Allopathic & Osteopathic Physicians|Surgery|Trauma Surgery,18760.010000000002,24.485,126
Allopathic & Osteopathic Physicians|Plastic Surgery|Surgery of the Hand,17359.83,33.92,42
Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,16997.920000000002,18.59,61
Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine & OMM,15919.54,24.335,32
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Urogynecology and Reconstructive Pelvic Surgery,15365.710000000001,17.55,154
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Clinical Neurophysiology,12205.88,21.165,84
Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot Surgery,11484.25,19.09,131
Allopathic & Osteopathic Physicians|Dermatology|Procedural Dermatology,10928.88,15.8,25
Allopathic & Osteopathic Physicians|Radiology|Nuclear Radiology,10497.05,74.52,12
Allopathic & Osteopathic Physicians|Surgery|Pediatric Surgery,10456.46,17.16,62
Allopathic & Osteopathic Physicians|Radiology|Body Imaging,10321.710000000001,39.73,25
Allopathic & Osteopathic Physicians|Hospitalist,10196.75,18.46,114
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Pulmonology,9942.71,17.69,15
Allopathic & Osteopathic Physicians|Pathology|Molecular Genetic Pathology,9743.89,1340.5,4
Allopathic & Osteopathic Physicians|Urology|Urogynecology and Reconstructive Pelvic Surgery,8782.6,15.32,32
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Nephrology,6769.839999999999,20.67,6
Allopathic & Osteopathic Physicians|Ophthalmology|Cornea and External Diseases Specialist,6226.44,115.32,3
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Spinal Cord Injury Medicine,6170.37,3085.185,2
Allopathic & Osteopathic Physicians|Preventive Medicine|Undersea and Hyperbaric Medicine,5668.900000000001,18.19,53
Dental Providers|Dentist|Oral and Maxillofacial Radiology,5155.17,237.92000000000002,6
Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,4909.88,15.76,129
Allopathic & Osteopathic Physicians|Otolaryngology|Sleep Medicine,4718.18,13.6,7
Chiropractic Providers|Chiropractor,4678.55,20.995,60
Dental Providers|Dentist|Endodontics,4646.66,21.2,50
Allopathic & Osteopathic Physicians|Preventive Medicine|Preventive Medicine/Occupational Environmental Medicine,4586.1900000000005,975.0,3
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Cardiology,4425.93,40.260000000000005,44
Allopathic & Osteopathic Physicians|Pathology|Blood Banking & Transfusion Medicine,4073.35,750.0,5
Allopathic & Osteopathic Physicians|Pediatrics|Neonatal-Perinatal Medicine,3851.92,38.275,6
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Pain Medicine,3703.05,18.6,75
Allopathic & Osteopathic Physicians|Plastic Surgery|Plastic Surgery Within the Head and Neck,3474.53,110.86,5
Allopathic & Osteopathic Physicians|Pediatrics|Adolescent Medicine,3400.57,17.5,51
Allopathic & Osteopathic Physicians|Radiology|Therapeutic Radiology,3237.73,19.415,12
Allopathic & Osteopathic Physicians|Radiology|Pediatric Radiology,3211.47,26.6,14
Allopathic & Osteopathic Physicians|Dermatology|MOHS-Micrographic Surgery,3102.6600000000003,16.89,31
Allopathic & Osteopathic Physicians|Pathology|Clinical Pathology,3041.16,24.98,3
Allopathic & Osteopathic Physicians|Emergency Medicine|Medical Toxicology,3033.34,1516.67,2
Allopathic & Osteopathic Physicians|Medical Genetics|Clinical Biochemical Genetics,3000.0,1500.0,2
Allopathic & Osteopathic Physicians|Medical Genetics|Molecular Genetic Pathology,2854.0,1427.0,2
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Emergency Medicine,2833.12,35.0,24
Allopathic & Osteopathic Physicians|Emergency Medicine|Pediatric Emergency Medicine,2819.37,1409.685,2
Allopathic & Osteopathic Physicians|Pathology|Cytopathology,2545.4599999999996,15.575,4
